iter	Passed	Remaining
226	297	1014
227	298	1010
228	299	1006
229	299	1003
230	300	999
231	301	996
232	301	993
233	302	989
234	302	986
235	303	982
236	304	979
237	304	975
238	305	972
239	305	968
240	306	965
241	307	962
242	307	958
243	308	955
244	309	952
245	309	949
246	310	946
247	311	943
248	311	940
249	312	937
250	313	934
251	314	932
252	314	929
253	315	926
254	315	923
255	316	920
256	317	917
257	318	915
258	318	912
259	319	909
260	320	906
261	320	904
262	321	901
263	322	898
264	322	895
265	323	893
266	324	890
267	324	887
268	325	884
269	326	882
270	327	879
271	327	877
272	328	874
273	329	871
274	329	869
275	330	866
276	331	864
277	331	861
278	332	858
279	333	856
280	333	853
281	334	851
282	334	848
283	335	846
284	336	843
285	336	840
286	337	838
287	338	835
288	338	833
289	339	831
290	340	829
291	340	826
292	341	824
293	342	821
294	342	819
295	343	817
296	344	814
297	344	812
298	345	810
299	346	807
300	346	805
301	347	802
302	347	800
303	348	798
304	349	795
305	349	793
306	350	791
307	351	788
308	351	786
309	352	784
310	353	782
311	353	780
312	354	778
313	355	776
314	356	774
315	356	772
316	357	770
317	358	768
318	358	766
319	359	764
320	360	762
321	360	760
322	361	757
323	362	755
324	362	753
325	363	751
326	364	749
327	364	747
328	365	745
329	366	743
330	366	741
331	367	739
332	368	737
333	369	735
334	369	733
335	370	731
336	371	730
337	371	728
338	372	726
339	373	724
340	373	722
341	374	720
342	375	718
343	375	716
344	376	715
345	377	713
346	377	711
347	378	709
348	379	707
349	379	705
350	380	703
351	380	701
352	381	699
353	382	697
354	382	695
355	383	693
356	384	691
357	384	690
358	385	688
359	386	686
360	386	684
361	387	683
362	388	681
363	389	679
364	389	677
365	390	676
366	391	674
367	391	672
368	392	671
369	393	670
370	394	668
371	395	667
372	396	665
373	396	664
374	397	662
375	398	660
376	399	659
377	399	658
378	400	656
379	401	654
380	402	653
381	402	651
382	403	650
383	404	648
384	404	646
385	405	645
386	406	643
387	407	642
388	408	640
389	408	639
390	409	637
391	410	636
392	410	634
393	411	633
394	412	631
395	413	629
396	413	628
397	414	626
398	415	625
399	415	623
400	416	622
401	417	620
402	417	619
403	418	617
404	419	616
405	419	614
406	420	612
407	421	611
408	421	609
409	422	607
410	423	606
411	423	604
412	424	603
413	424	601
414	425	599
415	426	598
416	427	597
417	427	595
418	428	594
419	429	592
420	430	591
421	431	590
422	431	589
423	432	587
424	433	586
425	434	585
426	435	583
427	435	582
428	436	580
429	437	579
430	437	578
431	438	576
432	439	575
433	439	573
434	440	572
435	441	570
436	442	569
437	442	568
438	443	566
439	444	565
440	444	563
441	445	562
442	446	561
443	447	560
444	448	558
445	448	557
446	449	556
447	450	554
448	450	553
449	451	551
450	452	550
451	452	549
452	453	547
453	454	546
454	454	544
455	455	543
456	456	541
457	456	540
458	457	539
459	457	537
460	458	536
461	459	534
462	459	533
463	460	531
464	461	530
465	461	529
466	462	527
467	463	526
468	463	524
469	464	523
470	464	522
471	465	520
472	465	519
473	466	517
474	467	516
475	467	515
476	468	513
477	469	512
478	469	510
479	470	509
480	470	507
481	471	506
482	471	505
483	472	503
484	473	502
485	473	500
486	474	499
487	474	498
488	475	497
489	476	495
490	477	494
491	477	493
492	478	491
